Student ID,School ID,School Name,Age at Enrollment,Gender,SES Quintile,SES Label,Household Size Index,Commute Distance (km),Digital Access,Digital Access Score,School Feeding,GPA Trend,Failed Subjects,Science Strength,Chronic Health Risk,Health Absences (days),Social Integration Score,Cash Flow Volatility,Academic Catch-up Flag,Counseling Access,Retained,Retained Flag,Dropout Reason,Risk Persona,Academic Risk Index,Barrier Burden Index,Economic Instability Index,Health Burden Index,Support Coverage Score,Long Commute Flag,High Academic Risk Flag,No Digital Access Flag,Recommended Intervention,Recommended Cost (KES),Sponsor Priority Score,Model Risk Score (oracle)
257,6,Mombasa Coast Secondary,13,Girl,4,Q4 — High,8,1.3,Shared device,1.0,Yes,-1.589,3,No,High,19,1,,No,No,Yes,1,Still enrolled,Health-Constrained,4.589,0.965,,57,1.5,No,Yes,No,,,,0.8917
258,10,Nyeri Ridge Secondary,17,Girl,2,Q2 — Low,6,2.8,No access,0.0,No,-2.233,1,Yes,Low,5,2,0.216,No,No,Yes,1,Still enrolled,Academic Strugglers,3.233,1.94,0.416,5,0.0,No,No,Yes,,,,0.8228
259,7,Eldoret Highlands Secondary,16,Girl,1,Q1 — Lowest,8,3.13,No access,0.0,Yes,-1.987,3,No,Low,5,1,0.265,No,No,No,0,Household Pressure,Academic Strugglers,4.987,2.157,0.515,5,1.0,No,Yes,Yes,School Fee Support,15000.0,3.298,0.7481
260,12,Garissa Horizon Secondary,14,Boy,2,Q2 — Low,4,8.95,No access,0.0,Yes,-1.264,1,No,Moderate,9,0,0.235,No,No,Yes,1,Still enrolled,Academic Strugglers,2.264,2.248,0.435,18,1.0,Yes,No,Yes,School Fee Support,15000.0,1.831,0.8865
261,4,Machakos Hilltop Secondary,16,Girl,1,Q1 — Lowest,4,12.74,No access,0.0,Yes,-0.005,0,No,Low,5,3,0.268,No,,Yes,1,Still enrolled,Academic Strugglers,0.005,2.637,0.518,5,,Yes,No,Yes,School Fee Support,15000.0,2.847,0.9351
262,20,Busia Border Secondary,14,Girl,5,Q5 — Highest,3,3.19,No access,0.0,No,0.046,1,No,Low,4,1,0.212,No,No,Yes,1,Still enrolled,Stable Achievers,0.954,1.36,0.262,4,0.0,No,No,Yes,,,,0.9787
263,19,Isiolo North Secondary,13,Boy,4,Q4 — High,3,1.29,No access,0.0,No,-1.786,3,No,Moderate,10,0,0.208,No,No,Yes,1,Still enrolled,Stable Achievers,4.786,1.465,0.308,20,0.0,No,Yes,Yes,,,,0.9301
264,14,Bungoma West Secondary,15,Girl,1,Q1 — Lowest,3,,Shared device,1.0,No,-2.077,3,No,Low,7,2,0.32,No,No,Yes,1,Still enrolled,Academic Strugglers,5.077,,0.57,7,0.5,No,Yes,No,School Fee Support,15000.0,3.726,0.7722
265,11,Kitale Plains Secondary,17,Girl,2,Q2 — Low,4,4.32,Shared device,1.0,Yes,-0.092,1,No,Low,4,1,0.218,No,No,Yes,1,Still enrolled,Academic Strugglers,1.092,1.516,0.418,4,1.5,No,No,No,,,,0.9694
266,15,Embu Sunrise Secondary,17,Girl,4,Q4 — High,8,5.06,Personal device,2.0,Yes,-0.38,3,Yes,Low,4,0,0.246,No,No,Yes,1,Still enrolled,Stable Achievers,3.38,0.653,0.346,4,2.0,No,Yes,No,,,,0.97
267,10,Nyeri Ridge Secondary,13,Girl,1,Q1 — Lowest,3,4.11,No access,0.0,No,-3.089,4,No,Low,2,0,0.228,Yes,,No,0,Other,Academic Strugglers,7.089,2.206,0.478,2,,No,Yes,Yes,School Fee Support,15000.0,2.924,0.5668
268,18,Narok Savannah Secondary,16,Girl,1,Q1 — Lowest,8,8.05,No access,0.0,Yes,-1.118,2,No,Low,4,0,0.232,No,No,No,0,Household Pressure,Academic Strugglers,3.118,2.403,0.482,4,1.0,Yes,No,Yes,School Fee Support,15000.0,2.504,0.769
269,2,Nyandarua Mixed Secondary,13,Girl,1,Q1 — Lowest,4,3.64,No access,0.0,Yes,-2.702,4,No,Low,2,3,0.245,Yes,,No,0,Academic Performance,Academic Strugglers,6.702,2.182,0.495,2,,No,Yes,Yes,School Fee Support,15000.0,2.897,0.7406
270,5,Nakuru Valley Secondary,17,Girl,5,Q5 — Highest,4,4.43,Shared device,1.0,Yes,0.33,0,Yes,Low,4,2,0.155,No,No,Yes,1,Still enrolled,Stable Achievers,-0.33,0.921,0.205,4,1.5,No,No,No,,,,0.9945
271,10,Nyeri Ridge Secondary,15,Girl,2,Q2 — Low,3,,No access,0.0,Yes,-2.81,5,No,High,11,0,,Yes,Yes,No,0,Academic Performance,Health-Constrained,7.81,,,33,2.0,No,Yes,Yes,Academic Tutoring / Catch-up,8000.0,2.45,0.3028
272,14,Bungoma West Secondary,17,Boy,1,Q1 — Lowest,5,1.82,No access,0.0,Yes,-1.52,4,No,Low,2,0,0.306,Yes,,No,0,Financial Instability,Academic Strugglers,5.52,2.091,0.556,2,,No,Yes,Yes,School Fee Support,15000.0,3.406,0.8835
273,15,Embu Sunrise Secondary,15,Boy,1,Q1 — Lowest,6,14.99,No access,0.0,Yes,-1.807,1,No,High,15,1,0.32,No,No,No,0,Health Related,Health-Constrained,2.807,2.75,0.57,45,1.0,Yes,No,Yes,School Fee Support,15000.0,3.953,0.6117
274,15,Embu Sunrise Secondary,16,Girl,1,Q1 — Lowest,7,11.67,No access,0.0,No,-2.927,4,No,Low,5,0,,Yes,Yes,No,0,Academic Performance,Academic Strugglers,6.927,2.583,,5,1.0,Yes,Yes,Yes,Academic Tutoring / Catch-up,8000.0,3.324,0.5662
275,19,Isiolo North Secondary,13,Girl,3,Q3 — Middle,10,7.51,Personal device,2.0,No,-1.022,2,No,Moderate,11,1,0.204,No,,Yes,1,Still enrolled,Health-Constrained,3.022,0.976,0.354,22,,No,No,No,,,,0.894
276,17,Malindi Shore Secondary,16,Girl,1,Q1 — Lowest,5,10.61,Shared device,1.0,No,-1.956,1,No,Low,5,0,0.32,No,No,Yes,1,Still enrolled,Academic Strugglers,2.956,2.031,0.57,5,0.5,Yes,No,No,School Fee Support,15000.0,3.575,0.6914
277,19,Isiolo North Secondary,15,Girl,3,Q3 — Middle,5,2.31,No access,0.0,Yes,-0.343,0,No,Low,5,1,0.223,No,No,Yes,1,Still enrolled,Stable Achievers,0.343,1.715,0.373,5,1.0,No,No,Yes,,,,0.9804
278,7,Eldoret Highlands Secondary,13,Girl,5,Q5 — Highest,6,7.88,Shared device,1.0,No,-1.479,2,No,Low,8,2,0.168,No,Yes,Yes,1,Still enrolled,Stable Achievers,3.479,1.094,0.218,8,1.5,No,No,No,,,,0.8805
279,14,Bungoma West Secondary,15,Boy,3,Q3 — Middle,5,7.23,,,No,-1.603,3,No,Low,3,1,0.258,No,No,Yes,1,Still enrolled,Academic Strugglers,4.603,,0.408,3,,No,Yes,No,Academic Tutoring / Catch-up,8000.0,2.267,0.8085
280,14,Bungoma West Secondary,14,Boy,1,Q1 — Lowest,7,20.0,No access,0.0,Yes,-2.38,3,No,Low,8,0,0.231,No,Yes,No,0,Commute Distance,Academic Strugglers,5.38,3.0,0.481,8,2.0,Yes,Yes,Yes,School Fee Support,15000.0,3.381,0.4111
281,13,Meru Mountain Secondary,13,Girl,1,Q1 — Lowest,5,9.58,No access,0.0,Yes,-2.06,4,No,Low,4,0,0.258,Yes,No,Yes,1,Still enrolled,Academic Strugglers,6.06,2.479,0.508,4,1.0,Yes,Yes,Yes,School Fee Support,15000.0,3.083,0.7029
282,13,Meru Mountain Secondary,17,Boy,2,Q2 — Low,6,4.05,No access,0.0,Yes,-1.459,3,No,Moderate,10,0,0.32,No,No,Yes,1,Still enrolled,Health-Constrained,4.459,2.003,0.52,20,1.0,No,Yes,Yes,School Fee Support,15000.0,3.275,0.7706
283,11,Kitale Plains Secondary,16,Boy,2,Q2 — Low,4,4.26,No access,0.0,Yes,-1.754,2,No,Low,6,2,0.287,No,Yes,Yes,1,Still enrolled,Academic Strugglers,3.754,2.013,0.487,6,2.0,No,No,Yes,School Fee Support,15000.0,2.967,0.9568
284,9,Kakamega Forest Secondary,15,Girl,1,Q1 — Lowest,4,15.9,No access,0.0,Yes,-1.9,2,No,Moderate,8,1,0.245,No,No,Yes,1,Still enrolled,Academic Strugglers,3.9,2.795,0.495,16,1.0,Yes,No,Yes,School Fee Support,15000.0,3.064,0.5941
285,3,Kisumu Lakeside Secondary,14,Boy,1,Q1 — Lowest,6,10.88,No access,0.0,No,-1.358,1,No,Moderate,10,2,0.32,No,No,Yes,1,Still enrolled,Academic Strugglers,2.358,2.544,0.57,20,0.0,Yes,No,Yes,School Fee Support,15000.0,3.56,0.6734
286,3,Kisumu Lakeside Secondary,14,Girl,4,Q4 — High,1,3.09,Shared device,1.0,Yes,0.125,0,No,High,18,0,0.165,No,No,Yes,1,Still enrolled,Health-Constrained,-0.125,1.055,0.265,54,1.5,No,No,No,,,,0.9622
287,1,Kilimani Day Secondary,16,Girl,3,Q3 — Middle,6,6.92,Shared device,1.0,No,-1.33,2,No,Low,7,1,0.246,No,No,Yes,1,Still enrolled,Academic Strugglers,3.33,1.446,0.396,7,0.5,No,No,No,,,,0.9366
288,8,Thika Green Secondary,13,Boy,4,Q4 — High,3,5.94,No access,0.0,Yes,-0.202,1,No,Low,8,0,0.238,No,No,Yes,1,Still enrolled,Stable Achievers,1.202,1.697,0.338,8,1.0,No,No,Yes,,,,0.9706
289,8,Thika Green Secondary,15,Girl,2,Q2 — Low,6,3.73,,,No,-0.857,2,No,Low,3,0,0.316,No,No,No,0,Psychosocial,Academic Strugglers,2.857,,0.516,3,,No,No,No,School Fee Support,15000.0,2.806,0.8464
290,20,Busia Border Secondary,14,Girl,1,Q1 — Lowest,8,6.49,No access,0.0,Yes,-1.519,2,No,Low,3,1,0.32,No,Yes,Yes,1,Still enrolled,Academic Strugglers,3.519,2.324,0.57,3,2.0,No,No,Yes,School Fee Support,15000.0,3.398,0.8552
291,5,Nakuru Valley Secondary,13,Boy,3,Q3 — Middle,11,3.87,Shared device,1.0,Yes,-0.263,1,No,Low,6,1,0.236,No,No,Yes,1,Still enrolled,Academic Strugglers,1.263,1.293,0.386,6,1.5,No,No,No,,,,0.9491
292,5,Nakuru Valley Secondary,15,Girl,2,Q2 — Low,1,3.09,No access,0.0,Yes,-0.797,2,No,Low,7,1,0.21,No,,Yes,1,Still enrolled,Academic Strugglers,2.797,1.955,0.41,7,,No,No,Yes,,,,0.984
293,1,Kilimani Day Secondary,14,Boy,2,Q2 — Low,4,4.45,Shared device,1.0,Yes,0.723,0,No,Low,9,1,0.216,No,No,Yes,1,Still enrolled,Stable Achievers,-0.723,1.522,0.416,9,1.5,No,No,No,,,,0.9799
294,3,Kisumu Lakeside Secondary,17,Boy,4,Q4 — High,3,2.84,Personal device,2.0,Yes,0.968,1,No,High,12,2,0.167,No,No,Yes,1,Still enrolled,Stable Achievers,0.032,0.542,0.267,36,2.0,No,No,No,,,,0.9837
295,14,Bungoma West Secondary,16,Boy,5,Q5 — Highest,2,,Shared device,1.0,No,-0.217,0,No,Low,5,2,0.224,No,No,Yes,1,Still enrolled,Stable Achievers,0.217,,0.274,5,0.5,No,No,No,,,,0.9846
296,8,Thika Green Secondary,14,Boy,4,Q4 — High,4,0.51,No access,0.0,No,-1.169,2,No,Low,3,3,,No,No,Yes,1,Still enrolled,Stable Achievers,3.169,1.426,,3,0.0,No,No,Yes,,,,0.9667
297,13,Meru Mountain Secondary,17,Girl,4,Q4 — High,4,,Personal device,2.0,Yes,0.61,0,No,Low,5,2,0.279,No,Yes,Yes,1,Still enrolled,Stable Achievers,-0.61,,0.379,5,3.0,No,No,No,,,,0.9802
298,3,Kisumu Lakeside Secondary,16,Boy,3,Q3 — Middle,8,0.64,Personal device,2.0,Yes,-0.861,2,No,Low,5,1,0.21,No,No,Yes,1,Still enrolled,Stable Achievers,2.861,0.632,0.36,5,2.0,No,No,No,,,,0.9706
299,16,Kericho Highlands Secondary,15,Girl,2,Q2 — Low,6,8.28,Shared device,1.0,Yes,-0.888,2,No,Moderate,7,1,0.32,No,No,Yes,1,Still enrolled,Academic Strugglers,2.888,1.714,0.52,14,1.5,Yes,No,No,School Fee Support,15000.0,3.122,0.9054
300,6,Mombasa Coast Secondary,13,Girl,4,Q4 — High,3,3.46,No access,0.0,Yes,-0.577,0,Yes,Low,3,0,0.188,No,Yes,Yes,1,Still enrolled,Stable Achievers,0.577,1.573,0.288,3,2.0,No,No,Yes,,,,0.9853
301,2,Nyandarua Mixed Secondary,13,Girl,4,Q4 — High,5,2.44,No access,0.0,Yes,-0.587,1,No,Moderate,10,0,0.187,No,Yes,Yes,1,Still enrolled,Stable Achievers,1.587,1.522,0.287,20,2.0,No,No,Yes,,,,0.977
302,19,Isiolo North Secondary,17,Boy,1,Q1 — Lowest,1,,Shared device,1.0,No,-1.29,0,No,Low,9,0,0.3,No,No,Yes,1,Still enrolled,Academic Strugglers,1.29,,0.55,9,0.5,No,No,No,School Fee Support,15000.0,3.051,0.9403
303,8,Thika Green Secondary,15,Girl,5,Q5 — Highest,3,1.93,Personal device,2.0,No,-0.432,1,No,Low,11,0,0.149,No,No,Yes,1,Still enrolled,Stable Achievers,1.432,0.297,0.199,11,1.0,No,No,No,,,,0.9882
304,7,Eldoret Highlands Secondary,17,Girl,5,Q5 — Highest,5,1.85,No access,0.0,No,-0.517,2,No,Low,6,1,0.245,No,No,Yes,1,Still enrolled,Stable Achievers,2.517,1.293,0.295,6,0.0,No,No,Yes,,,,0.9104
305,1,Kilimani Day Secondary,15,Boy,2,Q2 — Low,9,5.5,No access,0.0,Yes,-1.76,1,Yes,Low,5,1,0.32,No,Yes,Yes,1,Still enrolled,Academic Strugglers,2.76,2.075,0.52,5,2.0,No,No,Yes,School Fee Support,15000.0,3.0,0.9399
306,12,Garissa Horizon Secondary,15,Girl,2,Q2 — Low,2,7.66,No access,0.0,Yes,-0.987,2,No,Low,3,1,0.226,No,No,Yes,1,Still enrolled,Academic Strugglers,2.987,2.183,0.426,3,1.0,No,No,Yes,,,,0.9242
307,6,Mombasa Coast Secondary,17,Boy,2,Q2 — Low,5,5.29,No access,0.0,Yes,-0.571,3,No,Low,8,1,0.222,No,No,Yes,1,Still enrolled,Academic Strugglers,3.571,2.064,0.422,8,1.0,No,Yes,Yes,Academic Tutoring / Catch-up,8000.0,1.896,0.8641
308,5,Nakuru Valley Secondary,15,Girl,3,Q3 — Middle,8,2.26,Shared device,1.0,Yes,-0.73,3,No,Low,4,1,0.253,No,No,Yes,1,Still enrolled,Academic Strugglers,3.73,1.213,0.403,4,1.5,No,Yes,No,,,,0.9486
309,14,Bungoma West Secondary,15,Girl,2,Q2 — Low,4,4.22,No access,0.0,Yes,-1.367,3,Yes,Low,3,2,0.203,No,Yes,Yes,1,Still enrolled,Academic Strugglers,4.367,2.011,0.403,3,2.0,No,Yes,Yes,,,,0.9403
310,14,Bungoma West Secondary,17,Girl,1,Q1 — Lowest,8,20.0,No access,0.0,Yes,-0.679,0,No,Low,9,0,0.259,No,No,Yes,1,Still enrolled,Academic Strugglers,0.679,3.0,0.509,9,1.0,Yes,No,Yes,School Fee Support,15000.0,2.81,0.6405
311,3,Kisumu Lakeside Secondary,14,Girl,5,Q5 — Highest,0,1.88,Shared device,1.0,Yes,-0.681,1,No,Low,6,2,0.182,No,No,Yes,1,Still enrolled,Stable Achievers,1.681,0.794,0.232,6,1.5,No,No,No,,,,0.9839
312,3,Kisumu Lakeside Secondary,14,Boy,3,Q3 — Middle,4,,No access,0.0,Yes,1.31,0,No,Low,10,0,0.231,No,No,No,0,Commute Distance,Stable Achievers,-1.31,,0.381,10,1.0,No,No,Yes,Psychosocial Counseling,4000.0,0.686,0.9139
313,5,Nakuru Valley Secondary,17,Girl,5,Q5 — Highest,1,,Shared device,1.0,Yes,-1.494,2,No,Low,2,1,0.203,No,No,Yes,1,Still enrolled,Stable Achievers,3.494,,0.253,2,1.5,No,No,No,,,,0.9754
314,16,Kericho Highlands Secondary,17,Boy,3,Q3 — Middle,5,,Shared device,1.0,Yes,0.501,1,No,Low,4,0,0.238,No,No,Yes,1,Still enrolled,Stable Achievers,0.499,,0.388,4,1.5,No,No,No,,,,0.9538
315,6,Mombasa Coast Secondary,17,Girl,2,Q2 — Low,7,17.75,Shared device,1.0,Yes,-0.768,1,No,Moderate,8,2,0.32,No,Yes,Yes,1,Still enrolled,Academic Strugglers,1.768,2.188,0.52,16,2.5,Yes,No,No,School Fee Support,15000.0,3.392,0.82
316,9,Kakamega Forest Secondary,17,Girl,4,Q4 — High,5,2.3,Personal device,2.0,No,-1.784,2,Yes,Low,5,0,,No,Yes,Yes,1,Still enrolled,Stable Achievers,3.784,0.515,,5,2.0,No,No,No,,,,0.9547
317,3,Kisumu Lakeside Secondary,13,Girl,1,Q1 — Lowest,5,7.33,No access,0.0,Yes,-0.816,1,No,Low,7,1,0.294,No,No,Yes,1,Still enrolled,Academic Strugglers,1.816,2.367,0.544,7,1.0,No,No,Yes,School Fee Support,15000.0,3.099,0.9022
318,4,Machakos Hilltop Secondary,17,Boy,5,Q5 — Highest,3,4.52,Shared device,1.0,Yes,2.908,0,Yes,Low,8,3,0.238,No,Yes,Yes,1,Still enrolled,Stable Achievers,-2.908,0.926,0.288,8,2.5,No,No,No,,,,0.9976
319,14,Bungoma West Secondary,13,Girl,2,Q2 — Low,7,5.76,,,Yes,0.313,0,Yes,Moderate,9,0,0.277,No,No,Yes,1,Still enrolled,Health-Constrained,-0.313,,0.477,18,,No,No,No,,,,0.9389
320,16,Kericho Highlands Secondary,17,Boy,2,Q2 — Low,7,2.76,No access,0.0,Yes,-0.811,1,No,Low,6,3,,No,No,Yes,1,Still enrolled,Academic Strugglers,1.811,1.938,,6,1.0,No,No,Yes,,,,0.921
321,18,Narok Savannah Secondary,16,Girl,3,Q3 — Middle,3,9.57,Shared device,1.0,Yes,-1.833,2,Yes,Moderate,10,1,,No,No,Yes,1,Still enrolled,Health-Constrained,3.833,1.579,,20,1.5,Yes,No,No,Health & Attendance Support,5000.0,1.904,0.8623
322,12,Garissa Horizon Secondary,15,Boy,2,Q2 — Low,4,9.87,Shared device,1.0,Yes,-1.7,4,No,Moderate,11,0,0.205,Yes,No,Yes,1,Still enrolled,Health-Constrained,5.7,1.794,0.405,22,1.5,Yes,Yes,No,Academic Tutoring / Catch-up,8000.0,2.164,0.6684
323,6,Mombasa Coast Secondary,15,Girl,2,Q2 — Low,4,,No access,0.0,Yes,-0.086,0,No,Low,9,0,0.237,No,Yes,Yes,1,Still enrolled,Academic Strugglers,0.086,,0.437,9,2.0,No,No,Yes,,,,0.9582
324,9,Kakamega Forest Secondary,16,Boy,2,Q2 — Low,3,1.84,No access,0.0,Yes,0.818,0,No,Low,6,0,0.28,No,No,Yes,1,Still enrolled,Academic Strugglers,-0.818,1.892,0.48,6,1.0,No,No,Yes,,,,0.9534
325,4,Machakos Hilltop Secondary,16,Boy,1,Q1 — Lowest,6,1.96,No access,0.0,No,-0.916,1,No,High,20,1,0.32,No,No,Yes,1,Still enrolled,Health-Constrained,1.916,2.098,0.57,60,0.0,No,No,Yes,School Fee Support,15000.0,3.273,0.9112
326,5,Nakuru Valley Secondary,15,Boy,3,Q3 — Middle,6,3.09,,,No,-1.384,4,No,Low,5,3,0.194,Yes,No,No,0,Academic Performance,Academic Strugglers,5.384,,0.344,5,,No,Yes,No,Academic Tutoring / Catch-up,8000.0,1.713,0.8935
327,10,Nyeri Ridge Secondary,13,Boy,3,Q3 — Middle,5,3.92,No access,0.0,No,-1.295,0,No,Low,7,0,0.22,No,No,Yes,1,Still enrolled,Academic Strugglers,1.295,1.796,0.37,7,0.0,No,No,Yes,,,,0.9293
328,16,Kericho Highlands Secondary,14,Boy,2,Q2 — Low,3,9.73,No access,0.0,Yes,-2.134,1,No,Low,4,0,0.232,No,No,No,0,Psychosocial,Academic Strugglers,3.134,2.286,0.432,4,1.0,Yes,No,Yes,School Fee Support,15000.0,1.906,0.847
329,6,Mombasa Coast Secondary,13,Boy,2,Q2 — Low,4,4.53,No access,0.0,No,-1.233,0,Yes,Low,1,1,0.32,No,Yes,Yes,1,Still enrolled,Academic Strugglers,1.233,2.026,0.52,1,1.0,No,No,Yes,,,,0.9478
330,8,Thika Green Secondary,17,Boy,1,Q1 — Lowest,5,3.03,No access,0.0,Yes,-2.829,5,No,Moderate,10,1,0.247,Yes,Yes,Yes,1,Still enrolled,Academic Strugglers,7.829,2.151,0.497,20,2.0,No,Yes,Yes,School Fee Support,15000.0,3.175,0.6258
331,1,Kilimani Day Secondary,17,Girl,2,Q2 — Low,5,2.64,No access,0.0,Yes,0.941,0,Yes,Low,2,1,0.291,No,No,Yes,1,Still enrolled,Academic Strugglers,-0.941,1.932,0.491,2,1.0,No,No,Yes,,,,0.9922
332,1,Kilimani Day Secondary,13,Girl,4,Q4 — High,5,3.07,No access,0.0,Yes,-2.727,1,No,Low,5,2,0.22,No,No,Yes,1,Still enrolled,Stable Achievers,3.727,1.554,0.32,5,1.0,No,No,Yes,,,,0.9678
333,11,Kitale Plains Secondary,16,Girl,2,Q2 — Low,6,2.59,No access,0.0,Yes,0.917,0,No,Low,7,1,0.235,No,No,Yes,1,Still enrolled,Academic Strugglers,-0.917,1.93,0.435,7,1.0,No,No,Yes,,,,0.9649
334,20,Busia Border Secondary,14,Boy,1,Q1 — Lowest,3,2.28,No access,0.0,Yes,-2.532,5,No,High,11,0,0.32,Yes,No,No,0,Academic Performance,Health-Constrained,7.532,2.114,0.57,33,1.0,No,Yes,Yes,School Fee Support,15000.0,4.058,0.8494
335,12,Garissa Horizon Secondary,15,Girl,1,Q1 — Lowest,9,4.57,No access,0.0,Yes,-0.905,0,No,Low,2,2,0.221,No,Yes,Yes,1,Still enrolled,Academic Strugglers,0.905,2.229,0.471,2,2.0,No,No,Yes,,,,0.9476
336,1,Kilimani Day Secondary,17,Girl,2,Q2 — Low,13,4.12,,,Yes,-1.11,2,No,Low,3,1,0.317,No,,Yes,1,Still enrolled,Academic Strugglers,3.11,,0.517,3,,No,No,No,School Fee Support,15000.0,2.884,0.9427
337,12,Garissa Horizon Secondary,15,Girl,2,Q2 — Low,3,1.51,No access,0.0,Yes,1.085,0,No,Low,0,1,0.283,No,No,Yes,1,Still enrolled,Academic Strugglers,-1.085,1.875,0.483,0,1.0,No,No,Yes,,,,0.9879
338,3,Kisumu Lakeside Secondary,17,Boy,2,Q2 — Low,6,,No access,0.0,Yes,-3.232,4,No,Low,6,0,,Yes,No,No,0,Academic Performance,Academic Strugglers,7.232,,,6,1.0,No,Yes,Yes,Academic Tutoring / Catch-up,8000.0,2.928,0.4123
339,14,Bungoma West Secondary,14,Boy,3,Q3 — Middle,7,7.36,Shared device,1.0,Yes,-1.083,0,No,Moderate,10,0,0.215,No,No,Yes,1,Still enrolled,Health-Constrained,1.083,1.468,0.365,20,1.5,No,No,No,,,,0.9281
340,10,Nyeri Ridge Secondary,14,Girl,2,Q2 — Low,6,14.3,Personal device,2.0,Yes,-1.225,2,No,Moderate,9,0,0.32,No,No,Yes,1,Still enrolled,Health-Constrained,3.225,1.515,0.52,18,2.0,Yes,No,No,School Fee Support,15000.0,3.512,0.8119
341,8,Thika Green Secondary,17,Girl,2,Q2 — Low,5,3.93,No access,0.0,Yes,-0.169,0,No,Low,3,2,0.233,No,,Yes,1,Still enrolled,Academic Strugglers,0.169,1.997,0.433,3,,No,No,Yes,,,,0.9886
342,5,Nakuru Valley Secondary,17,Girl,2,Q2 — Low,10,13.65,,,Yes,-1.903,2,Yes,Moderate,17,0,0.271,No,,Yes,1,Still enrolled,Health-Constrained,3.903,,0.471,34,,Yes,No,No,School Fee Support,15000.0,3.585,0.7693
343,4,Machakos Hilltop Secondary,16,Girl,3,Q3 — Middle,9,,Shared device,1.0,Yes,-0.214,2,No,Low,4,2,0.244,No,No,Yes,1,Still enrolled,Academic Strugglers,2.214,,0.394,4,1.5,No,No,No,,,,0.9537
344,7,Eldoret Highlands Secondary,17,Girl,1,Q1 — Lowest,5,10.1,No access,0.0,Yes,-3.53,3,Yes,Low,6,1,0.286,No,No,No,0,Academic Performance,Academic Strugglers,6.53,2.505,0.536,6,1.0,Yes,Yes,Yes,School Fee Support,15000.0,4.076,0.5393
345,10,Nyeri Ridge Secondary,15,Boy,3,Q3 — Middle,4,1.34,Shared device,1.0,Yes,-0.763,1,No,Moderate,11,0,,No,No,Yes,1,Still enrolled,Health-Constrained,1.763,1.167,,22,1.5,No,No,No,,,,0.9605
346,12,Garissa Horizon Secondary,16,Girl,4,Q4 — High,2,2.97,Personal device,2.0,No,0.809,0,No,Low,5,2,0.253,No,Yes,Yes,1,Still enrolled,Stable Achievers,-0.809,0.549,0.353,5,2.0,No,No,No,,,,0.9909
347,14,Bungoma West Secondary,13,Girl,2,Q2 — Low,4,7.53,Shared device,1.0,Yes,-3.282,5,Yes,Low,5,0,0.242,Yes,No,Yes,1,Still enrolled,Academic Strugglers,8.282,1.676,0.442,5,1.5,No,Yes,No,Academic Tutoring / Catch-up,8000.0,3.068,0.7801
348,20,Busia Border Secondary,15,Boy,1,Q1 — Lowest,7,7.8,No access,0.0,Yes,-1.051,2,No,Low,7,2,0.298,No,No,Yes,1,Still enrolled,Academic Strugglers,3.051,2.39,0.548,7,1.0,No,No,Yes,School Fee Support,15000.0,3.34,0.9196
349,1,Kilimani Day Secondary,16,Girl,3,Q3 — Middle,6,7.81,No access,0.0,Yes,-0.549,1,No,Low,2,3,0.229,No,No,Yes,1,Still enrolled,Academic Strugglers,1.549,1.991,0.379,2,1.0,No,No,Yes,,,,0.9825
350,19,Isiolo North Secondary,14,Girl,3,Q3 — Middle,8,16.63,No access,0.0,No,-0.48,1,No,Moderate,6,2,0.266,No,Yes,Yes,1,Still enrolled,Academic Strugglers,1.48,2.432,0.416,12,1.0,Yes,No,Yes,School Fee Support,15000.0,1.794,0.8491
351,12,Garissa Horizon Secondary,14,Boy,4,Q4 — High,3,7.23,Shared device,1.0,Yes,1.004,0,No,Low,4,1,0.255,No,Yes,Yes,1,Still enrolled,Stable Achievers,-1.004,1.261,0.355,4,2.5,No,No,No,,,,0.9927
352,2,Nyandarua Mixed Secondary,13,Boy,1,Q1 — Lowest,7,8.37,No access,0.0,Yes,-0.988,0,No,High,20,0,0.32,No,No,No,0,Health Related,Health-Constrained,0.988,2.418,0.57,60,1.0,Yes,No,Yes,School Fee Support,15000.0,3.427,0.5512
353,18,Narok Savannah Secondary,15,Boy,3,Q3 — Middle,2,,Shared device,1.0,No,-1.584,4,No,Low,6,0,0.282,Yes,No,Yes,1,Still enrolled,Academic Strugglers,5.584,,0.432,6,0.5,No,Yes,No,Academic Tutoring / Catch-up,8000.0,2.476,0.6136
354,18,Narok Savannah Secondary,14,Girl,2,Q2 — Low,10,10.95,No access,0.0,Yes,-0.913,1,Yes,Low,7,0,0.201,No,No,Yes,1,Still enrolled,Academic Strugglers,1.913,2.348,0.401,7,1.0,Yes,No,Yes,,,,0.801
355,6,Mombasa Coast Secondary,16,Boy,1,Q1 — Lowest,4,4.05,No access,0.0,Yes,-1.051,1,No,Moderate,15,0,0.264,No,No,Yes,1,Still enrolled,Health-Constrained,2.051,2.203,0.514,30,1.0,No,No,Yes,School Fee Support,15000.0,3.036,0.8492
356,4,Machakos Hilltop Secondary,14,Girl,3,Q3 — Middle,1,9.32,Personal device,2.0,No,0.426,0,No,Low,4,0,0.225,No,No,Yes,1,Still enrolled,Stable Achievers,-0.426,1.066,0.375,4,1.0,Yes,No,No,,,,0.9721
357,7,Eldoret Highlands Secondary,16,Girl,3,Q3 — Middle,5,2.14,No access,0.0,Yes,0.238,0,No,Moderate,10,0,0.195,No,No,Yes,1,Still enrolled,Stable Achievers,-0.238,1.707,0.345,20,1.0,No,No,Yes,,,,0.9598
